Дата;Сумма;Счёт;Предмет;Источник;Раздел;Направление;Регулярность;Период;Платеж. Остаток;Платеж. Статус;Платеж. Договор;Платеж. Контрагент;Расход. Комментарий;Расход. Формат;Расход. Инструмент
Предмет: Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos (Инстаграм Лента);Не выбрано;Посев Инстаграм;;;;;;;;;;;;;
01/02/2022;-39499;Qiwi-кошелек;Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos;mozaik;Артисты;ПРОМО;Разовый;Без периода;;;;;Источник: MOZAIK;;
Предмет: Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos (Инстаграм Stories);Не выбрано;Посев Инстаграм;;;;;;;;;;;;;
01/02/2022;-4000;Yandex-кошелек;Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos;mozaik;Артисты;ПРОМО;Разовый;Без периода;;;;;Источник: MOZAIK;;
Предмет: Валя Карнавал х Артур Бабич х Аня Покров х Тим Сорокин - Друзья и Cheetos (Инстаграм Лента);Не выбрано;Посев Инстаграм;;;;;;;;;;;;;
01/05/2022;-2350;Сбербанк Юра;Просто приезжай;POLYA;Артисты;ПРОМО;Разовый;Без периода;;;;;POLYA - Просто приезжай - (Коммерция) ;Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;200000;Сбербанк Юра;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;0;Полная оплата;;;;;
01/05/2022;-9000;Маша Первова (личный счет) ;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Леша Свик - Плакала 3 - 1 блогер - коммерция;Не выбрано;TikTok Блогеры
01/05/2022;-5500;Сбербанк Юра;Раненый;Филипп Киркоров;Артисты;ПРОМО;Разовый;Без периода;;;;; Киркоров - Раненый — (Ворнер) Катя тикток;Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-3450;Сбербанк Юра;Bahh Tee & Turken - Не рассказывай никому;Bahh Tee;Артисты;ПРОМО;Разовый;Без периода;;;;; Бахти - Не рассказывай никому - (Юлия тик ток);Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-8250;Сбербанк Юра;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Свик - Плакала - (Коммерция);Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-4050;Сбербанк Юра;passmurny - waste my time;Монолит;Лэйблы;ПРОМО;Разовый;Без периода;;;;; Passmurny - Waste my time - (Коммерция);Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-2050;Сбербанк Юра;Matafonova - Многообразие;Matafonova;Артисты;ПРОМО;Разовый;Без периода;;;;;MATAFONOVA - Многообразие - (Коммерция) ;Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-1300;Сбербанк Юра;Yani - на баре;Atlantic Rectords;Лэйблы;ПРОМО;Разовый;Без периода;;;;;Yani - На баре - (Коммерция) ;Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-3400;Сбербанк Юра;Caspr - Snow;Warner;Лэйблы;ПРОМО;Разовый;Без периода;;;;; Caspr - Snow - (Ворнер) ;Не выбрано;Оплата подрядчикам TikTok паблики
01/05/2022;-1500;Сбербанк Юра;Ed Sheeran - Shivers (feat Feduk & Slava Marlow);Warner;Лэйблы;ПРОМО;Разовый;Без периода;;;;;Feduk & Slava Marlow - Shivers - (Ворнер);;
;Не выбрано;Оплата подрядчикам TikTok паблики;;;;;;;;;;;;;
01/05/2022;-500;Сбербанк Юра;Новогодняя; Nataliya & Катя Васильева;Артисты;ПРОМО;Разовый;Без периода;;;;;NATALIYA & Катя Васильева — Новогодняя - (Коммерция) ;Не выбрано;Оплата подрядчикам TikTok паблики
01/06/2022;-59;Маша Первова (личный счет) ;Комиссии;Банковские операции;Офис по промо;ПРОМО;Разовый;Без периода;;;;;плата за услугу оповещения об операциях;Не выбрано;Комиссии
01/06/2022;-40000;Маша Первова (личный счет) ;Плакала;Леша Свик;Артисты;ПРОМО;Разовый;Без периода;;;;;Леша Свик - Плакала 4 - 1 блогер - коммерция;Не выбрано;TikTok Блогеры
;"626598,03";;;;;;;;0;;;;;;
